<<<<<<< HEAD
"BotType","1","2","3","4","5","6","7","Win-rate","Games played"
"RobotStrategator 1","4611","3265","2160","1347","0","0","0","40.51","11383"
"RobotInvestor 1","1461","2646","3562","3714","0","0","0","12.83","11383"
"RobotRichalphonse 1","3529","3419","2793","1642","0","0","0","31.0","11383"
"RobotRusher 1","1782","2053","2868","4680","0","0","0","15.65","11383"
=======
"BotType","1","2","3","4","5","6","7","Win-rate","Games played","Total score","Average score"
"RobotRichalphonse 1","280","333","242","147","0","0","0","27.94","1002","21340","21"
"RobotRusher 1","167","179","245","411","0","0","0","16.67","1002","16429","16"
"RobotInvestor 1","133","229","301","339","0","0","0","13.27","1002","17613","17"
"RobotStrategator 1","422","261","214","105","0","0","0","42.12","1002","23388","23"
>>>>>>> f086fb0b2184196e35a79ca7152c5a9d7d4c6e6e
