"BotType","1","2","3","4","5","6","7","Win-rate","Games played","Total score","Average score"
"RobotStrategator 1","643","419","441","335","162","0","0","32.15","2000","43574","21"
"RobotInvestor 1","411","384","473","423","309","0","0","20.55","2000","38490","19"
"RobotRusher 1","204","252","315","534","695","0","0","10.2","2000","30383","15"
"RobotRusher 2","195","234","323","509","739","0","0","9.75","2000","29820","14"
"RobotRichalphonse 1","547","711","448","199","95","0","0","27.35","2000","44526","22"
